Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Furnished,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Terrace surface,Garden surface,Type of building,How many fireplaces?
20236914,295000€,3,,Hyper equipped,3,,8830,hooglede,for-sale,house,house,30,,,
20236913,775000€,3,210,Hyper equipped,5,No,9000,gent,for-sale,house,house,,85,,
20236912,285000€,2,160,Semi equipped,3,No,4430,ans,for-sale,town-house,house,65,,,
20236904,269000€,4,166,,3,,3910,pelt,for-sale,house,house,,,,
20236902,259000€,4,126,Installed,3,,5600,philippeville,for-sale,house,house,,,All kind,
20227717,435000€,3,125,,3,No,1083,ganshoren,for-sale,house,house,,,,
20236895,499000€,2,203,Installed,6,,1080,molenbeek-saint-jean,for-sale,mixed-use-building,house,40,,,
20236892,669000€,4,220,,3,,2200,herentals,for-sale,villa,house,,,,
20236890,85000€,,,,2,,6250,aiseau-presles,for-sale,house,house,,,,
20236889,199990€,2,250,,5,,6060,charleroi,for-sale,mansion,house,,,,
20236887,219000€,2,163,Hyper equipped,3,,6061,charleroi-montignies-sur-sambre,for-sale,house,house,,,,
20236888,199990€,3,,,,,6060,charleroi,for-sale,apartment-block,house,,,,
20236886,430000€,4,,,5,No,6180,courcelles,for-sale,villa,house,,,,
20236884,399000€,2,382,,3,No,9100,sint-niklaas,for-sale,house,house,74,,House,
20236882,575000€,4,,Semi equipped,3,No,3384,glabbeek,for-sale,country-cottage,house,,,,
11416624,625000€,4,330,,5,No,1930,nossegem,for-sale,villa,house,,,House,
20236881,319000€,4,163,,3,,2223,heist-op-den-berg-schriek,for-sale,house,house,,,,
20236876,595000€,4,175,Hyper equipped,3,No,1380,lasne,for-sale,house,house,30,900,,1
20236875,595000€,4,175,Hyper equipped,3,No,1332,genval,for-sale,house,house,30,900,,1
20236874,290000€,3,157,Hyper equipped,2,No,3700,tongeren,for-sale,house,house,,240,,
20236873,185000€,2,153,Installed,3,No,5555,gedinne-louette-saint-denis,for-sale,house,house,25,,,
20236871,259000€,,155,,4,,6110,montigny-le-tilleul,for-sale,villa,house,,,,
20236868,849000€,4,291,,4,,3040,huldenberg-sint-agatha-rode,for-sale,villa,house,70,,,1
20236866,499000€,2,99,,3,,1000,brussel,for-sale,apartment-block,house,,,,
20236865,70000€,2,117,Not installed,2,No,7380,quievrain,for-sale,house,house,,,,
20126994,315000€,8,120,Installed,2,No,1120,neder-over-heembeek,for-sale,house,house,,,,
20163434,825000€,4,367,,4,,2970,schilde,for-sale,villa,house,,,,
11224714,220000€,4,145,Semi equipped,3,No,4260,braives,for-sale,house,house,,4800,,
20236845,299000€,3,130,Installed,2,,8790,waregem,for-sale,house,house,53,,,
20236840,595000€,4,200,Hyper equipped,3,,8792,waregem,for-sale,villa,house,,,,1
20236846,498000€,4,150,Installed,3,,8790,waregem,for-sale,villa,house,,,,1
20236839,179000€,2,85,Semi equipped,2,,8950,nieuwkerke,for-sale,house,house,25,254,,
20236837,330000€,,135,Semi equipped,3,,1370,saint-remy-geest,for-sale,house,house,,,,
20167203,335000€,3,160,Installed,3,No,4300,waremme,for-sale,house,house,45,,,
20236833,275000€,4,357,Installed,5,,5520,onhaye,for-sale,farmhouse,house,12,,All kind,
20236832,129000€,,70,,2,,8840,oostnieuwkerke,for-sale,house,house,,,,
20121921,285000€,2,129,Installed,3,Yes,2800,mechelen,for-sale,house,house,5,,All kind,
20235121,199500€,2,,Installed,2,,9500,geraardsbergen,for-sale,house,house,3,,House,
20216925,775000€,4,1500,,6,,5620,florennes,for-sale,mixed-use-building,house,,,,
20236829,169900€,2,202,Semi equipped,5,,7110,houdeng-goegnies,for-sale,house,house,,231,,
20236828,325000€,,208,,4,,8500,kortrijk,for-sale,house,house,,,,
20236827,429000€,,,,,,3130,begijnendijk,for-sale,new-real-estate-project-houses,house,,,,
20236826,429000€,3,180,Hyper equipped,4,,3130,begijnendijk,for-sale,house,house,22,,,
20236825,429000€,3,180,Hyper equipped,4,,3130,begijnendijk,for-sale,house,house,22,,,
20236824,535000€,4,213,Installed,4,No,3090,overijse,for-sale,villa,house,21,1521,,
20236759,569000€,4,638,,5,,3390,tielt-winge,for-sale,house,house,,,,
20236757,495000€,4,207,,2,No,8420,wenduine,for-sale,house,house,,,House,
20236756,228000€,2,134,Hyper equipped,2,,8800,roeselare,for-sale,house,house,40,75,All kind,
20236731,168000€,,238,,7,,6500,beaumont,for-sale,house,house,,,,
20236728,245000€,3,190,,3,,1470,bousval,for-sale,house,house,16,1450,,
20236720,295000€,2,,,4,,8940,geluwe,for-sale,house,house,,,,
20236719,249900€,3,171,Installed,5,Yes,4100,seraing,for-sale,house,house,40,,All kind,
20236718,365000€,2,264,Semi equipped,4,,2360,oud-turnhout,for-sale,house,house,,,,
20233861,1625000€,4,427,Hyper equipped,5,,1640,rhode-saint-genese,for-sale,villa,house,190,2250,,1
20236708,595000€,2,,Installed,7,No,5000,namur,for-sale,house,house,19,,,
20236707,300000€,2,,Installed,4,,7100,trivieres,for-sale,house,house,,,,
20236705,730000€,3,,Installed,3,,9140,temse,for-sale,house,house,,,,
20236703,169000€,3,138,Semi equipped,3,,7712,mouscron,for-sale,house,house,,120,,
20236699,349000€,3,108,Installed,2,,9300,aalst,for-sale,house,house,7,25,,
20236677,349000€,,,,,,9300,aalst,for-sale,new-real-estate-project-houses,house,,,,
20236659,285000€,2,,Installed,3,,4432,ans,for-sale,house,house,,,,
20236656,549000€,3,350,,8,No,1030,schaerbeek,for-sale,apartment-block,house,,30,,
20236654,925000€,4,465,USA uninstalled,7,No,1640,rhode-saint-genese,for-sale,house,house,,477,,1
20236657,549000€,3,350,,8,No,1030,schaerbeek,for-sale,house,house,,30,,
20236655,925000€,4,465,USA uninstalled,7,No,1410,waterloo,for-sale,house,house,,477,,1
20236653,925000€,4,465,USA uninstalled,7,No,1420,braine-lalleud,for-sale,house,house,,477,,1
20236652,1150000€,2,480,,,No,1000,bruxelles,for-sale,apartment-block,house,,,,
11359203,179000€,3,120,Installed,2,No,6120,ham-sur-heure-nalinnes,for-sale,house,house,,,,
20236577,298000€,2,161,Installed,3,No,8920,langemark-poelkapelle,for-sale,house,house,40,,,
20236573,349000€,2,192,Installed,4,,8501,heule,for-sale,house,house,90,180,,
20236571,475000€,3,130,USA hyper equipped,3,,8421,de-haan,for-sale,house,house,1,1,All kind,
20236570,385000€,2,180,Hyper equipped,5,,9300,aalst,for-sale,house,house,16,285,All kind,
20236569,574000€,4,170,Installed,4,,9070,destelbergen,for-sale,house,house,,,,
20232032,550000€,,150,,3,,6792,halanzy,for-sale,house,house,,,,
20213951,399000€,3,180,,2,No,4780,recht,for-sale,house,house,,,,
